Country (Name),ASFIS species (Name),FAO division (Name),Unit (Name),Unit,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Liberia,Barracudas nei,Sherbro,Tonnes - live weight,TLW,100,,100,,100,,100,,100,,100,,100,,100,,133,,981,,366,,801,,723,,824,,677,,440,,433,,644,,515,,572,,43,,58,,93,,42,,31,,202,,35,,112,,318,,442,,253,,272,,302,,384,,432,,372,,419,,356,,126,,400,E,700,E,1000,E,1500,E,2000,E,2500,E,3000,E,3500,E,3941,,5287,,0,M,0,M,0,M
Liberia,Bearded brotula,Sherbro,Tonnes - live weight,TLW,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,530,,279,,108,,216,,46,,4,,10,,66,,48,,52,,0,N,40,,40,,48,,57,,20,,69,,43,,50,E,60,E,70,E,80,E,85,E,95,E,100,E,100,E,75,,104,,244.78,,143.38,,43.92,
Liberia,Benguela hake,Sherbro,Tonnes - live weight,TLW,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,,3,,3,,4,,5,,0,,0,,0,,16,,0,,0,,0,,0,,0,,0,,0,,38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,M,0,M,0,M
Liberia,Bigeye grunt,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,1307,,321,,318,E,315,E,312,E,309,E,306,E,303,E,300,E,300,E,111,,148,,150.88,,518,,44,
Liberia,Bigeye thresher,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,5,,9,,24,,0,M,0,M
Liberia,Bigeye tuna,Tunas (CECAF area),Tonnes - live weight,TLW,200,E,200,E,200,E,200,E,200,E,200,E,200,E,200,E,218,,515,,182,,441,,395,,396,,284,,235,,233,,265,,229,,206,,16,,13,,42,,65,,53,,57,,105,,340,,108,,112,,201,,175,,175,,145,,112,,32,,29,,377,,144,,130,E,115,E,0,,0,,0,,0,,0,,26.74,,98.21,,1.17,,2.89,,222.14,,28.73,
Liberia,Bignose shark,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,47,,89,,44,
Liberia,Black marlin,Tunas (CECAF area),Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,31,,0,M,1.89,
Liberia,Black seabream,Sherbro,Tonnes - live weight,TLW,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,24,,34,,36,,3,,8,,0,,6,,0,,0,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,10,,10,,12,,37,,18,,0,M,0,M,0,M,0,M,0,N,0,N,0,N,0,,0,M,0,M,0,M,0,M,2,,128,,6,
Liberia,Blacktip shark,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,19,,91,,16,
